window,start_sec,end_sec,in_event_count,out_event_count,in_count_est_sum,out_count_est_sum,in_count_round_sum,out_count_round_sum,net_count_round
0,0.0,3.0,2,6,1094.1084569835662,309.6942776620388,1094,310,784
1,3.0,6.0,5,3,662.8000206661225,643.3026476001739,663,644,19
2,6.0,9.0,7,7,26.20665964901447,42.0344962310791,26,41,-15
3,9.0,12.0,4,7,188.30853262245654,10.249730724394322,188,11,177
4,12.0,15.0,5,4,270.89064323902136,1737.9782846546173,271,1738,-1467
5,15.0,18.0,8,5,101.76312005758285,453.14185521602633,102,454,-352
6,18.0,21.0,3,5,1062.3058318078517,385.2182682359219,1062,386,676
7,21.0,24.0,6,5,12.751148419380188,345.04041188240046,15,346,-331
8,24.0,27.0,4,5,1420.7703014183044,655.9551160955428,1421,656,765
9,27.0,30.0,2,4,182.53848680615425,25.57137088268995,183,27,156
10,30.0,33.0,2,3,854.5862334871292,985.4895045757294,854,986,-132
11,33.0,36.0,3,3,1672.5734917187692,722.371007385254,1673,722,951
12,36.0,39.0,4,4,899.6355010032653,735.9735013896226,900,737,163
13,39.0,42.0,2,3,849.3213582038879,404.0184913539886,849,404,445
14,42.0,45.0,2,5,535.1301089715957,579.1577345228195,536,580,-44
15,45.0,48.0,3,3,1523.1745938047766,1139.4703188386559,1523,1140,383
16,48.0,51.0,3,2,1340.7987901312113,653.4614572763443,1340,653,687
17,51.0,54.0,5,3,1014.6747565481066,1110.9922688293457,1014,1111,-97
18,54.0,57.0,2,3,835.564977786541,847.2090628552437,836,848,-12
19,57.0,60.0,2,2,1529.0195648938418,1093.9738019442557,1529,1093,436
20,60.0,63.0,4,2,181.2348237335682,2165.4949394357204,181,2165,-1984
21,63.0,66.0,4,3,555.2322310984134,1701.226698704958,556,1701,-1145
22,66.0,69.0,5,4,203.16153942510485,455.6962262505293,205,456,-251
23,69.0,72.0,4,2,828.9953186690807,1201.2497802755236,828,1201,-373
24,72.0,75.0,2,1,2449.0040408182144,1437.764928302765,2449,1438,1011
25,75.0,78.0,1,2,1793.042025756836,1960.771434841156,1793,1960,-167
26,78.0,81.0,2,3,1311.3694242095949,1064.3337367725373,1312,1065,247
27,81.0,84.0,4,2,943.888365663886,916.150545116663,944,916,28
28,84.0,87.0,1,2,1082.8839165687561,1031.212662639618,1083,1031,52
29,87.0,90.0,2,5,1853.4602268069982,1100.2192630004881,1853,1100,753
30,90.0,93.0,1,5,959.3981750488281,1207.6258775687218,959,1208,-249
31,93.0,96.0,2,2,2564.684034576416,922.5274226009847,2565,922,1643
32,96.0,99.0,2,4,321.676339263916,280.0887500613928,321,281,40
33,99.0,102.0,1,2,1450.6673092651367,539.5318206715584,1451,540,911
34,102.0,105.0,4,3,1475.5647969722747,843.0313856887818,1475,843,632
35,105.0,108.0,6,5,153.28246322870254,1031.074956021309,154,1032,-878
36,108.0,111.0,1,4,1340.1479132843017,418.2449462985993,1340,418,922
37,111.0,114.0,5,6,1170.5560710740092,12.447153369188307,1172,13,1159
38,114.0,117.0,5,5,691.4715922772884,351.71408358812334,692,352,340
39,117.0,120.0,2,5,615.1029997825623,29.441082353591916,615,29,586
40,120.0,123.0,4,7,1053.9427915573121,92.22526038765906,1054,92,962
41,123.0,126.0,1,4,1482.3561278533934,241.99742818593978,1482,242,1240
42,126.0,129.0,4,8,1280.8077431714535,18.458851704001425,1281,20,1261
43,129.0,132.0,3,6,1453.1677585601806,6.649206252098084,1454,7,1447
44,132.0,135.0,3,5,2341.5544406443832,121.15034556239843,2342,121,2221
45,135.0,138.0,4,5,928.6981607013942,56.74353788390756,928,57,871
46,138.0,141.0,2,5,1589.4965385770797,1116.401144587323,1589,1116,473
47,141.0,144.0,2,6,2256.170055398941,186.88273643255232,2256,188,2068
48,144.0,147.0,5,2,232.90216865062715,1026.8197653770446,233,1026,-793
49,147.0,150.0,2,1,256.2126987743378,567.7228995513916,256,568,-312
